========================================================================
  pKa GPR Calibration Report
  DFT method: r2SCAN-3c / CPCM(Water) + GFN2-xTB RRHO
========================================================================

  Model: Gaussian Process Regression
  Feature mode:  full
  Features:      ['δpKa_calc', 'q_acid', 'ΔE_CPCM', 'ΔBO_XC', 'ΔBO_ring', 'q_CHELPG_site']

  Training points:  214 total
    Full descriptors: 214
    Partial only:     1

  Kernel amplitude:  2.8885 pKa
  Noise level:       0.5364 pKa
  Length scales:     ['0.997', '1.629', '0.557', '0.656', '0.968', '6.630']

  LOO RMSE:  1.3975 pKa units
  LOO MAE:   0.8766 pKa units

  Physical interpretation of descriptors:
    δpKa_calc     ls=0.997  ACTIVE                        DFT deprotonation energy (charge-state centred); primary driver
    q_acid        ls=1.629  ACTIVE                        Born solvation q² baseline; separates charge-state families
    ΔE_CPCM       ls=0.557  ACTIVE                        
    ΔBO_XC        ls=0.656  ACTIVE                        
    ΔBO_ring      ls=0.968  ACTIVE                        
    q_CHELPG_site  ls=6.630  ACTIVE                        

  Active features: 6/6 (length scale < 9.5; wall-bound features ls→10.0 are negligible)

────────────────────────────────────────────────────────────────────────
  Training data with predictions:

              Compound                  Step    q   pKa_calc   pKa_exp   pKa_pred      σ      err
         glutamic_acid  HGlu_anion→Glu_diani   -1     216.78     9.470      9.719  1.016   +0.249
           glutarimide  Glutarimid→Glutarimi   +0     217.87     9.700      9.739  1.035   +0.039
               glycine  Glycine_zw→Glycine_a   +0     230.30     9.600      9.686  1.012   +0.086
         glycolic_acid  GlycolicAc→Glycolate   +0     206.28     3.831      3.445  0.807   -0.386
             guanidine  Guanidiniu→Guanidine   +1     213.72    13.600     13.398  1.064   -0.202
             histidine       H3His2+→H2His1+   +2     196.52     1.820      1.844  1.026   +0.024
             histidine         H2His1+→HHis0   +1     205.75     6.000      7.125  0.885   +1.125
             histidine           HHis0→His1-   +0     209.53     9.170      9.363  0.858   +0.193
          homocysteine  HomoCys_zw→HomoCys_t   +0     207.65    10.000      9.443  0.997   -0.557
         hydroxylamine  Hydroxylam→Hydroxyla   +1     198.85     6.000      5.985  1.044   -0.015
             ibuprofen  IbuprofenH→Ibuprofen   +0     208.90     4.910      4.414  0.771   -0.496
             imidazole  Imidazoliu→Imidazole   +1     204.25     6.950      6.589  0.880   -0.361
     isonicotinic_acid  IsonicotH2→Isonicoti   +1     200.20     1.840      2.571  0.877   +0.731
     isonicotinic_acid  Isonicotin→Isonicoti   +0     205.60     4.860      3.637  0.768   -1.223
           lactic_acid    LacticAcid→Lactate   +0     206.37     3.860      3.544  0.823   -0.316
            lamivudine  Lamivudine→Lamivudin   +1     201.83     4.300      4.234  0.948   -0.066
               leucine  LeuH2_cati→Leu_zwitt   +1     200.90     2.329      2.384  0.888   +0.055
               leucine  Leu_zwitte→Leu_anion   +0     211.27     9.744      9.835  0.834   +0.091
              levodopa   LDopa_cat→LDopa_zwi   +1     200.61     2.320      2.152  0.784   -0.168
              levodopa  LDopa_zwit→LDopa_mon   +0     211.10     8.720      8.808  1.025   +0.088
              levodopa  LDopa_mono→LDopa_ph1   -1     213.12     9.960      9.764  1.040   -0.196
              levodopa   LDopa_ph1→LDopa_ph2   -2     228.59    13.100     13.053  1.063   -0.047
             lidocaine  LidocaineH→Lidocaine   +1     205.37     7.900      8.033  1.033   +0.133
